"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","현황도형 생성일시","면적(도형)","길이(도형)"
"53408","11000UQ171PS201912150040","UQQ900"," "," ","UQQ900","11000EZZ200812231765","11000NTC200811202367","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","23257.82492360","867.96899414"
"53407","11000UQ171PS201912150039","UQQ900"," "," ","UQQ900","11000EZZ201007051990","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","13302.04846500","544.21697998"
"53406","11000UQ171PS201912150038","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","110.24142821","59.66730118"
"53405","11000UQ171PS201912150037","UQQ900"," "," ","UQQ900","11000EZZ201006071963","11000NTC201005134922","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","20946.01131450","671.18499756"
"53404","11000UQ171PS201912150036","UQQ900"," "," ","UQQ900","11000EZZ201010072006","11000NTC201008125276","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","5145.02569461","364.41198730"
"53403","11000UQ171PS201912150035","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","50.69419294","34.10789871"
"53402","11000UQ171PS201912150034","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","478.84612180","89.82109833"
"53401","11000UQ171PS201912150033","UQQ900"," "," ","UQQ900","11000EZZ201005141948","11000NTC201005124905","개방행위허가제한지역 2","11000"," ","2019-12-15 00:00:00.0","72942.34835770","1245.60998535"
"53400","11000UQ171PS201912150032","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","896431.99113600","8599.37011719"
"53399","11000UQ171PS201912150031","UQQ900"," "," ","UQQ900","11000EZZ200906021839","11000NTC200905073280","용산우체국 뒤","11000"," ","2019-12-15 00:00:00.0","6497.32913033","401.97900391"
