"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","집행상태코드 심볼","현황도형 생성일시","면적(도형)","길이(도형)"
"116055","11000UQ153PS201912152040","UQT200","UQT210"," ","UQT210","11000URZ199601082943","11000NTC199601085748","코끼리공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1594.49238560","167.59367827"
"116056","11000UQ153PS201912152041","UQT200","UQT210"," ","UQT210","11000URZ200503106314","11000NTC200503107850","배미골공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1500.64281019","161.51288726"
"116057","11000UQ153PS201912152042","UQT200","UQT220"," ","UQT220","11000URZ199808195747","11000NTC199808198176","용허리공원","11000","11","EMA0009","2019-12-15 00:00:00.0","4641.88956166","312.18391985"
"116058","11000UQ153PS201912152043","UQT200","UQT205"," ","UQT205","11000URZ201503051085","11000NTC201503057418","소공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","631.72964231","138.21296318"
"116059","11000UQ153PS201912152044","UQT200","UQT210"," ","UQT210","11000URZ199505200863","11000NTC199505205251","당골공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1616.20536984","154.03051093"
"116060","11000UQ153PS201912152045","UQT200","UQT205"," ","UQT205","11000URZ201205032967","11000NTC201205036474","무교2공원","11000","2","EMA0009","2019-12-15 00:00:00.0","1202.88895012","143.51430671"
"116061","11000UQ153PS201912152046","UQT200","UQT290"," ","UQT290","11000URZ000000001531"," ","기타 공원시설","11000"," ","EMA0009","2019-12-15 00:00:00.0","14016.09077890","781.81311576"
"116062","11000UQ153PS201912152047","UQT200","UQT210"," ","UQT210","11000URZ199505200728","11000NTC199505205251","송록공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","947.34658350","126.28167992"
"116063","11000UQ153PS201912152982","UQT300","UQT330"," ","UQT330","11000URZ200802281002","11000NTC200802281822","녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","2844.20716835","596.91263293"
"116064","11000UQ153PS201912153135","UQT300","UQT320"," ","UQT320","11000URZ199007300728","11000NTC199007301813","경관녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","840.88976893","242.22075696"
"116065","11000UQ153PS201912153136","UQT300","UQT320"," ","UQT320","11000URZ200206224260","11000NTC200206222742","경관녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","1171.90035828","293.08801429"
"116066","11000UQ153PS201912153137","UQT300","UQT330"," ","UQT330","11000URZ201706268682","11000NTC201706268178","녹지","11000","4","EMA0009","2019-12-15 00:00:00.0","1603.89378566","289.59095695"
"116068","11000UQ153PS201912154238","UQT500","UQT510"," ","UQT510","11000URZ200008149693","11000NTC200008149791","공공공지","11000"," ","EMA0009","2019-12-15 00:00:00.0","376.96494079","109.89948273"
"116069","11000UQ153PS201912154482","UQT500","UQT510"," ","UQT510","11000URZ199506290297","11000NTC199506295360","공공공지","11000"," ","EMA0009","2019-12-15 00:00:00.0","21.73972087","47.06904142"
"116070","11000UQ153PS201912154483","UQT500","UQT510"," ","UQT510","11000URZ000000001531"," ","공공공지","11000"," ","EMA0009","2019-12-15 00:00:00.0","122.60124083","72.73145929"
