DGM_NM,gid
낙원상가,다사547528
낙원상가,다사548526
홍제시장,다사508543
홍제시장,다사508544
홍제시장,다사509544
토지구획정리사업,다사677475
토지구획정리사업,다사676475
토지구획정리사업,다사677476
시장,다사571439
시장,다사571438
시장,다사572439
시장,다사572438
중앙도매시장,다사558518
시장,다사473399
시장,다사472399
시장,다사473400
시장,다사472400
시장,다사591602
시장,다사591601
시장,다사592601
유통업무설비,다사588406
유통업무설비,다사599404
유통업무설비,다사589403
유통업무설비,다사588404
유통업무설비,다사590405
유통업무설비,다사599402
유통업무설비,다사597403
유통업무설비,다사589406
유통업무설비,다사590407
유통업무설비,다사600402
유통업무설비,다사588405
유통업무설비,다사599403
유통업무설비,다사595407
유통업무설비,다사588401
유통업무설비,다사598405
유통업무설비,다사589404
유통업무설비,다사588403
유통업무설비,다사588399
유통업무설비,다사591404
유통업무설비,다사591402
유통업무설비,다사591400
유통업무설비,다사592402
유통업무설비,다사591406
유통업무설비,다사597405
유통업무설비,다사598403
유통업무설비,다사591399
유통업무설비,다사589402
유통업무설비,다사593403
유통업무설비,다사597406
유통업무설비,다사591403
유통업무설비,다사600403
유통업무설비,다사592404
유통업무설비,다사595406
유통업무설비,다사590399
유통업무설비,다사589401
유통업무설비,다사591401
유통업무설비,다사597404
유통업무설비,다사589400
유통업무설비,다사596403
유통업무설비,다사588400
유통업무설비,다사594406
유통업무설비,다사594403
유통업무설비,다사590406
유통업무설비,다사596406
유통업무설비,다사592399
유통업무설비,다사590401
유통업무설비,다사590404
유통업무설비,다사593402
유통업무설비,다사593401
유통업무설비,다사592403
유통업무설비,다사596407
유통업무설비,다사594405
유통업무설비,다사589399
유통업무설비,다사595405
유통업무설비,다사595404
유통업무설비,다사598404
유통업무설비,다사591405
유통업무설비,다사596405
유통업무설비,다사590400
유통업무설비,다사593400
유통업무설비,다사590403
유통업무설비,다사594402
유통업무설비,다사592400
유통업무설비,다사591407
유통업무설비,다사589405
유통업무설비,다사596404
유통업무설비,다사592401
유통업무설비,다사590402
유통업무설비,다사594404
유통업무설비,다사591400
유통업무설비,다사591399
유통업무설비,다사590399
유통업무설비,다사592399
유통업무설비,다사590400
유통업무설비,다사592400
대규모점포및정기시장,다사477453
대규모점포및정기시장,다사478453
시장시설 기타,다사625481
시장시설 기타,다사626481
반포쇼핑센터,다사546448
반포쇼핑센터,다사547448
반포쇼핑센터,다사546449
시장,다사658435
시장,다사656442
시장,다사660436
시장,다사660441
시장,다사651440
시장,다사659440
시장,다사657436
시장,다사653440
시장,다사657442
시장,다사656441
시장,다사660439
시장,다사657435
시장,다사659436
시장,다사653439
시장,다사655439
시장,다사658439
시장,다사662438
시장,다사655434
시장,다사656440
시장,다사653436
시장,다사659442
시장,다사652438
시장,다사655441
시장,다사655440
시장,다사657441
시장,다사660440
시장,다사653438
시장,다사662437
시장,다사661437
시장,다사657437
시장,다사655436
시장,다사652439
시장,다사659438
시장,다사650439
시장,다사659441
시장,다사660438
시장,다사655438
시장,다사656437
시장,다사654434
시장,다사659439
시장,다사658441
시장,다사659437
시장,다사658436
시장,다사654435
시장,다사650438
시장,다사657439
시장,다사655437
시장,다사652437
시장,다사656439
시장,다사651438
시장,다사656436
시장,다사653435
시장,다사656435
시장,다사658437
시장,다사651439
시장,다사654438
시장,다사655435
시장,다사660437
시장,다사654440
시장,다사654436
시장,다사658442
시장,다사657440
시장,다사656438
시장,다사651437
시장,다사654437
시장,다사654441
시장,다사658440
시장,다사652440
시장,다사661438
시장,다사658438
시장,다사653437
시장,다사654439
시장,다사652436
시장,다사661439
시장,다사657438
난곡시장,다사485418
난곡시장,다사484418
명일현대종합시장,다사687497
명일현대종합시장,다사687496
명일현대종합시장,다사686496
명일현대종합시장,다사686497
시장,다사578590
시장,다사579591
시장,다사578591
시장,다사439503
시장,다사438504
시장,다사439504
시장,다사438504
시장,다사439503
시장,다사542432
시장,다사541432
시장,다사541431
시장,다사542432
시장,다사625513
시장,다사625512
시장,다사626513
시장,다사626512
대방소매시장,다사490444
시장,다사587558
시장,다사587559
시장,다사467521
시장,다사469518
시장,다사467520
시장,다사468526
시장,다사469524
시장,다사468523
시장,다사467519
시장,다사469526
시장,다사469522
시장,다사466522
시장,다사469519
시장,다사465521
시장,다사467526
시장,다사465523
시장,다사466524
시장,다사468521
시장,다사464522
시장,다사468518
시장,다사467518
시장,다사467523
시장,다사468522
시장,다사467525
시장,다사469520
시장,다사466523
시장,다사468527
시장,다사469527
시장,다사469525
시장,다사467524
시장,다사465522
시장,다사468519
시장,다사468520
시장,다사469521
시장,다사467522
시장,다사468524
시장,다사468525
시장,다사469523
시장,다사466520
시장,다사466521
시장,다사566544
시장,다사567545
시장,다사567544
수정시장,다사497471
수정시장,다사497472
시장,다사470449
시장,다사471448
시장,다사470448
신촌시장,다사502508
신촌시장,다사501508
신촌시장,다사502509
신촌시장,다사501509
신촌시장,다사501508
신촌시장,다사502508
시장,다사473374
시장,다사473377
시장,다사472378
시장,다사472374
시장,다사473375
시장,다사473376
시장,다사472377
시장,다사473378
시장,다사472376
시장,다사472375
시장,다사626549
시장,다사627548
시장,다사627549
시장,다사626548
시장,다사545440
시장,다사544441
시장,다사544440
대치종합상가,다사614446
대치종합상가,다사614447
시장,다사456434
시장,다사456433
시장,다사595634
시장,다사595635
시장,다사589609
시장,다사590609
유통업무설비,다사617513
유통업무설비,다사616513
유통업무설비,다사615513
유통업무설비,다사618512
유통업무설비,다사615512
유통업무설비,다사616511
유통업무설비,다사617511
유통업무설비,다사616512
유통업무설비,다사617512
유통업무설비,다사617513
유통업무설비,다사611588
유통업무설비,다사616582
유통업무설비,다사617579
유통업무설비,다사613590
유통업무설비,다사612582
유통업무설비,다사616576
유통업무설비,다사611586
유통업무설비,다사612583
유통업무설비,다사617581
유통업무설비,다사615583
유통업무설비,다사617578
유통업무설비,다사614585
유통업무설비,다사614586
유통업무설비,다사617577
유통업무설비,다사613582
유통업무설비,다사613581
유통업무설비,다사614578
유통업무설비,다사615575
유통업무설비,다사613589
유통업무설비,다사612585
유통업무설비,다사617582
유통업무설비,다사614579
유통업무설비,다사614584
유통업무설비,다사618576
유통업무설비,다사617576
유통업무설비,다사612590
유통업무설비,다사614577
유통업무설비,다사612584
유통업무설비,다사615582
유통업무설비,다사615576
유통업무설비,다사613580
유통업무설비,다사616577
유통업무설비,다사614582
유통업무설비,다사617580
유통업무설비,다사615580
유통업무설비,다사613585
유통업무설비,다사613586
유통업무설비,다사616580
유통업무설비,다사616579
유통업무설비,다사611587
유통업무설비,다사614580
유통업무설비,다사614587
유통업무설비,다사612587
유통업무설비,다사615581
유통업무설비,다사613588
유통업무설비,다사615578
유통업무설비,다사614588
유통업무설비,다사613583
유통업무설비,다사612586
유통업무설비,다사616578
유통업무설비,다사613587
유통업무설비,다사614583
유통업무설비,다사614581
유통업무설비,다사612589
유통업무설비,다사612588
유통업무설비,다사613584
유통업무설비,다사615579
유통업무설비,다사616581
유통업무설비,다사615577
사당시장,다사535427
사당시장,다사536427
워커힐 아파트상가,다사653500
워커힐 아파트상가,다사652501
워커힐 아파트상가,다사652500
워커힐 아파트상가,다사653501
시장,다사620493
시장,다사619494
시장,다사620494
시장,다사632452
시장,다사494515
시장,다사493515
시장,다사493516
시장,다사494515
시장,다사493515
방신소매시장,다사392526
방신소매시장,다사392527
시장,다사613617
시장,다사613618
시장,다사612617
시장,다사612618
시장,다사578601
시장,다사577601
시장,다사577602
시장,다사578602
시장,다사586597
시장,다사585597
시장,다사413497
시장,다사414496
시장,다사413496
시장,다사568522
시장,다사568521
신세계백화점,다사534516
신세계백화점,다사535516
신세계백화점,다사534517
신세계백화점,다사535517
시장,다사436451
시장,다사437451
시장,다사436450
시장,다사538422
시장,다사538423
시장,다사539423
시장,다사539422
시장,다사501497
시장,다사501496
시장,다사410482
시장,다사411481
시장,다사410481
시장,다사411482
시장,다사411472
시장,다사410472
시장,다사540466
시장,다사541466
시장,다사571523
시장,다사572523
시장,다사572523
시장,다사571523
오장시장,다사558518
시장,다사569522
시장,다사569521
시장,다사568522
시장,다사568521
상도종합시장,다사509439
상도종합시장,다사508439
상도종합시장,다사510439
상도종합시장,다사508438
상도종합시장,다사508437
상도종합시장,다사509438
상도종합시장,다사509437
상도종합시장,다사508439
상도종합시장,다사510439
상도종합시장,다사509439
상도종합시장,다사508438
중앙시장,다사476393
중앙시장,다사476392
시장,다사457430
시장,다사457429
유통업무설비,다사668425
유통업무설비,다사665424
유통업무설비,다사668423
유통업무설비,다사663423
유통업무설비,다사665423
유통업무설비,다사666426
유통업무설비,다사663418
유통업무설비,다사664423
유통업무설비,다사666420
유통업무설비,다사666413
유통업무설비,다사667413
유통업무설비,다사669420
유통업무설비,다사665421
유통업무설비,다사666418
유통업무설비,다사668418
유통업무설비,다사665418
유통업무설비,다사664420
유통업무설비,다사667424
유통업무설비,다사663420
유통업무설비,다사669416
유통업무설비,다사667420
유통업무설비,다사668412
유통업무설비,다사666415
유통업무설비,다사665419
유통업무설비,다사668415
유통업무설비,다사662423
유통업무설비,다사665416
유통업무설비,다사664416
유통업무설비,다사661423
유통업무설비,다사667414
유통업무설비,다사664417
유통업무설비,다사666417
유통업무설비,다사668413
유통업무설비,다사662422
유통업무설비,다사665415
유통업무설비,다사668422
유통업무설비,다사668414
유통업무설비,다사662420
유통업무설비,다사668417
유통업무설비,다사668424
유통업무설비,다사667426
유통업무설비,다사669421
