DGM_NM,gid
서울과학고교,다사557548
서울과학고교,다사557547
서울과학고교,다사556548
서울과학고교,다사555548
서울과학고교,다사558548
서울과학고교,다사557548
서울과학고교,다사556548
영신여자고등학교,다사631614
영신여자고등학교,다사632614
영신여자고등학교,다사632615
영신여자고등학교,다사631615
대동산업고등학교,다사548535
대동산업고등학교,다사547537
대동산업고등학교,다사547536
대동산업고등학교,다사548538
대동산업고등학교,다사547535
대동산업고등학교,다사548537
대동산업고등학교,다사547538
대동산업고등학교,다사548536
신림여자중학교,다사506411
신림여자중학교,다사508411
신림여자중학교,다사506410
신림여자중학교,다사507411
신림여자중학교,다사507410
학교,다사594555
학교,다사593556
학교,다사593555
학교,다사594556
학교,다사523450
학교,다사524451
학교,다사523451
학교,다사523452
학교,다사524450
학교,다사524452
잠신고등학교,다사637461
잠신고등학교,다사635462
잠신고등학교,다사637463
잠신고등학교,다사636462
잠신고등학교,다사636463
잠신고등학교,다사637462
개포초교,다사619431
개포초교,다사618431
개포초교,다사620431
개포초교,다사619430
개포초교,다사620430
개포초교,다사618430
"경복여자고,상고교",다사428510
"경복여자고,상고교",다사427510
"경복여자고,상고교",다사427512
"경복여자고,상고교",다사426511
"경복여자고,상고교",다사428511
"경복여자고,상고교",다사427511
"경복여자고,상고교",다사426512
"경복여자고,상고교",다사428512
신사중학교,다사576472
신사중학교,다사577472
신사중학교,다사576474
신사중학교,다사577474
신사중학교,다사577473
신사중학교,다사576473
언주중학교,다사598461
언주중학교,다사599462
언주중학교,다사600462
언주중학교,다사600461
언주중학교,다사598462
언주중학교,다사599461
학교,다사465484
학교,다사464484
학교,다사465485
학교,다사466484
학교,다사465483
학교,다사488449
학교,다사488450
학교,다사487447
학교,다사488447
학교,다사488448
학교,다사488447
학교,다사488450
학교,다사490447
학교,다사489447
학교,다사489450
학교,다사489449
학교,다사488448
학교,다사488449
학교,다사490449
학교,다사487447
학교,다사489448
학교,다사490448
학교,다사477444
학교,다사477443
학교,다사478443
학교,다사478444
고등학교,다사568461
고등학교,다사567460
고등학교,다사567461
고등학교,다사568462
고등학교,다사567462
영락고등학교,다사507420
영락고등학교,다사507419
영락고등학교,다사509420
영락고등학교,다사510420
영락고등학교,다사508421
영락고등학교,다사508420
영락고등학교,다사508419
학교,다사412506
학교,다사411506
학교,다사413508
학교,다사413506
학교,다사413507
학교,다사412507
학교,다사410506
학교,다사410507
학교,다사411507
학교,다사410508
학교,다사411508
학교,다사412508
누원초등학교,다사601653
누원초등학교,다사602652
누원초등학교,다사602654
누원초등학교,다사603653
누원초등학교,다사603652
누원초등학교,다사602653
카톨릭신학대학교,다사561543
카톨릭신학대학교,다사561540
카톨릭신학대학교,다사563539
카톨릭신학대학교,다사563540
카톨릭신학대학교,다사564539
카톨릭신학대학교,다사564538
카톨릭신학대학교,다사562540
카톨릭신학대학교,다사561542
카톨릭신학대학교,다사562541
카톨릭신학대학교,다사563542
카톨릭신학대학교,다사562542
카톨릭신학대학교,다사563541
카톨릭신학대학교,다사561541
카톨릭신학대학교,다사564541
카톨릭신학대학교,다사564542
카톨릭신학대학교,다사564540
카톨릭신학대학교,다사564539
카톨릭신학대학교,다사564541
카톨릭신학대학교,다사564542
카톨릭신학대학교,다사564540
카톨릭신학대학교,다사563542
카톨릭신학대학교,다사562542
카톨릭신학대학교,다사564538
학교,다사551419
학교,다사550418
학교,다사550419
학교,다사552421
학교,다사550420
학교,다사551418
학교,다사552420
학교,다사551421
학교,다사549420
학교,다사551420
학교,다사694498
학교,다사693498
학교,다사694497
학교,다사693497
"명성중,고교",다사634493
"명성중,고교",다사635492
"명성중,고교",다사635494
"명성중,고교",다사635493
"명성중,고교",다사634494
"명성중,고교",다사634492
"한영중,고교,외국어고교",다사696498
"한영중,고교,외국어고교",다사697498
"한영중,고교,외국어고교",다사697500
"한영중,고교,외국어고교",다사698499
"한영중,고교,외국어고교",다사696500
"한영중,고교,외국어고교",다사697499
"한영중,고교,외국어고교",다사698500
"한영중,고교,외국어고교",다사696499
강서초등학교,다사417471
강서초등학교,다사416472
강서초등학교,다사417472
강서초등학교,다사418471
강서초등학교,다사416471
역촌초등학교,다사482559
역촌초등학교,다사483560
역촌초등학교,다사482560
역촌초등학교,다사483559
자운초등학교,다사599620
자운초등학교,다사600622
자운초등학교,다사600621
자운초등학교,다사600620
자운초등학교,다사599621
용강초등학교,다사509500
용강초등학교,다사508500
용강초등학교,다사509501
용강초등학교,다사508499
용강초등학교,다사508501
학교,다사420451
학교,다사421451
학교,다사421452
학교,다사420452
면동초등학교,다사634541
면동초등학교,다사634540
면동초등학교,다사635540
면동초등학교,다사635541
서신초등학교,다사476549
서신초등학교,다사477548
서신초등학교,다사476548
서신초등학교,다사477550
서신초등학교,다사476550
서신초등학교,다사477549
학교,다사499410
학교,다사498410
학교,다사497408
학교,다사498409
학교,다사499409
학교,다사498408
학교,다사497410
학교,다사497409
연은초등학교(응암국교분교),다사486545
연은초등학교(응암국교분교),다사487545
연은초등학교(응암국교분교),다사486546
연은초등학교(응암국교분교),다사487546
"신월중,고교",다사406493
"신월중,고교",다사408492
"신월중,고교",다사406491
"신월중,고교",다사406492
"신월중,고교",다사407493
"신월중,고교",다사408491
"신월중,고교",다사408493
"신월중,고교",다사407492
"신월중,고교",다사407491
"신월중,고교",다사408493
학교,다사518484
학교,다사517483
학교,다사518483
학교,다사517485
학교,다사517484
학교,다사516485
학교,다사518485
경동초등학교,다사603492
경동초등학교,다사602494
경동초등학교,다사602493
경동초등학교,다사602495
경동초등학교,다사603494
경동초등학교,다사603493
경동초등학교,다사601494
금북초등학교,다사578510
금북초등학교,다사578510
금북초등학교,다사579510
금북초등학교,다사579509
금북초등학교,다사578509
금북초등학교,다사579508
매동초등학교,다사528532
매동초등학교,다사529532
매동초등학교,다사528531
매동초등학교,다사529531
은정초등학교,다사440458
은정초등학교,다사441459
은정초등학교,다사440459
은정초등학교,다사440460
은정초등학교,다사441460
신강초등학교,다사418475
신강초등학교,다사417475
신강초등학교,다사419475
신강초등학교,다사417476
신강초등학교,다사418476
신강초등학교,다사417476
신강초등학교,다사418476
홍연초등학교,다사498537
홍연초등학교,다사498536
홍연초등학교,다사496537
홍연초등학교,다사497536
홍연초등학교,다사497537
홍연초등학교,다사497538
남정초등학교,다사526487
남정초등학교,다사527487
남정초등학교,다사527485
남정초등학교,다사527486
남정초등학교,다사526486
묵천초등학교,다사624567
묵천초등학교,다사623566
묵천초등학교,다사623567
묵천초등학교,다사624566
연천초등학교,다사496581
연천초등학교,다사495581
연천초등학교,다사495580
연천초등학교,다사495579
연천초등학교,다사497580
연천초등학교,다사496579
연천초등학교,다사496580
연천초등학교,다사497581
대은초등학교,다사494570
대은초등학교,다사493571
대은초등학교,다사492571
대은초등학교,다사493570
신대방초등학교,다사484442
신대방초등학교,다사483441
신대방초등학교,다사483442
신대방초등학교,다사484441
초등학교(국민학교),다사431448
학교,다사636517
학교,다사637514
학교,다사636514
학교,다사636515
학교,다사636516
학교,다사637517
학교,다사637515
학교,다사637516
한빛특수학교(맹학교),다사572589
한빛특수학교(맹학교),다사572588
소년의집(초교),다사497554
소년의집(초교),다사495555
소년의집(초교),다사494555
소년의집(초교),다사494554
소년의집(초교),다사496556
소년의집(초교),다사494556
소년의집(초교),다사495556
소년의집(초교),다사495554
소년의집(초교),다사496554
소년의집(초교),다사496555
고등학교,다사619542
고등학교,다사618542
고등학교,다사618541
고등학교,다사619541
삼광초등학교,다사538498
삼광초등학교,다사538499
삼광초등학교,다사537498
삼광초등학교,다사537499
충무국민학교,다사560514
충무국민학교,다사560515
충무국민학교,다사559514
충무국민학교,다사559515
등서초등학교,다사429505
