번호,광역지자체,시군구, 50키로와트 , 100키로와트 , 100키로와트듀얼 , 200키로와트듀얼 , 300키로와트이상 ,  사용량(키로와트시)  
223,경기,용인시,1,0,0,0,0,"94,658"
224,대구,달서구,2,0,0,0,0,"94,102"
225,제주,제주시,2,0,0,0,0,"94,086"
226,경남,진주시,1,0,0,0,0,"93,979"
227,경기,연천군,1,0,0,0,0,"93,924"
228,경북,포항시,1,0,0,0,0,"93,599"
229,강원,원주시,2,0,0,0,0,"93,207"
230,경남,창원시,1,0,0,0,0,"92,778"
231,부산,연제구,1,0,0,0,0,"92,305"
232,제주,제주시,2,0,0,0,0,"92,292"
233,부산,부산진구,1,0,0,0,0,"92,229"
234,강원,원주시,1,0,0,0,0,"92,119"
235,대구,북구,1,0,0,0,0,"92,099"
236,전남,목포시,1,0,0,0,0,"91,493"
237,경기,안양시,1,0,0,0,0,"91,363"
238,경북,포항시,1,0,0,0,0,"91,168"
239,제주,제주시,2,0,0,0,0,"90,835"
240,서울,서초구,1,0,0,0,0,"90,641"
241,경기,양평군,1,0,0,0,0,"90,513"
242,전남,순천시,1,0,0,0,0,"90,343"
243,강원,평창군,2,0,0,0,0,"90,193"
244,광주,북구,2,0,0,0,0,"90,172"
245,경남,김해시,1,0,0,0,0,"90,052"
246,세종,세종시,2,0,0,0,0,"89,735"
247,경북,경산시,2,0,0,0,0,"89,530"
248,전남,목포시,1,0,0,0,0,"89,187"
249,인천,남동구,4,0,0,0,0,"89,180"
250,충북,청주시,1,0,0,0,0,"88,956"
251,경기,용인시,1,0,0,0,0,"88,697"
252,경남,남해군,1,0,0,0,0,"88,565"
253,충북,청주시,1,0,0,0,0,"88,460"
254,경기,용인시,1,0,0,0,0,"88,419"
255,서울,송파구,1,0,0,0,0,"88,393"
256,경기,이천시,1,0,0,0,0,"88,333"
257,경북,경산시,2,0,0,0,0,"88,327"
258,제주,서귀포시,3,0,0,0,0,"87,763"
259,서울,용산구,1,0,0,0,0,"87,641"
260,광주,북구,1,0,0,0,0,"87,300"
261,전남,여수시,2,0,0,0,0,"87,147"
262,경남,진주시,1,0,0,0,0,"85,724"
263,충남,금산군,1,0,0,0,0,"85,505"
264,전남,여수시,2,0,0,0,0,"85,464"
265,전남,순천시,1,0,0,0,0,"85,286"
266,충북,청주시,1,0,0,0,0,"85,253"
267,대구,달성군,1,0,0,0,0,"84,889"
268,대구,북구,2,0,0,0,0,"84,701"
269,세종,세종시,2,0,0,0,0,"84,559"
270,전북,세종시,2,0,0,0,0,"84,338"
271,강원,세종시,1,0,0,0,0,"84,258"
272,세종,세종시,1,0,0,0,0,"84,199"
273,충남,세종시,2,0,0,0,0,"83,693"
274,전남,세종시,2,0,0,0,0,"83,595"
275,경기,세종시,2,0,0,0,0,"83,566"
276,제주,세종시,1,0,0,0,0,"83,559"
277,경북,세종시,1,0,0,0,0,"83,356"
278,서울,세종시,1,0,0,0,0,"83,256"
279,서울,세종시,1,0,0,0,0,"83,204"
280,제주,세종시,2,0,0,0,0,"83,081"
281,대전,세종시,5,0,0,0,0,"83,021"
282,경기,세종시,1,0,0,0,0,"82,875"
283,경남,세종시,2,0,0,0,0,"82,792"
284,충남,세종시,1,0,0,0,0,"82,584"
285,강원,세종시,1,0,0,0,0,"82,408"
286,경기,세종시,1,0,0,0,0,"82,364"
287,전남,세종시,1,0,0,0,0,"82,336"
288,제주,세종시,1,0,0,0,0,"82,295"
289,경기,세종시,2,0,0,0,0,"82,184"
290,전남,세종시,1,0,0,0,0,"81,994"
291,강원,세종시,1,0,0,0,0,"81,823"
292,전남,세종시,2,0,0,0,0,"81,512"
293,부산,세종시,2,0,0,0,0,"81,492"
294,대구,세종시,2,0,0,0,0,"80,506"
295,광주,세종시,1,0,0,0,0,"80,431"
296,광주,세종시,1,0,0,0,0,"80,322"
297,경기,세종시,1,0,0,0,0,"80,245"
298,경북,세종시,1,0,0,0,0,"80,104"
299,경기,세종시,1,0,0,0,0,"80,092"
300,강원,세종시,1,0,0,0,0,"79,631"
301,대구,세종시,1,0,0,0,0,"79,529"
302,경기,세종시,2,0,0,0,0,"79,002"
303,대구,세종시,1,0,0,0,0,"78,851"
304,전북,세종시,1,0,0,0,0,"78,808"
305,전남,세종시,2,0,0,0,0,"78,767"
306,대구,세종시,1,0,0,0,0,"78,491"
307,전북,세종시,2,0,0,0,0,"78,091"
308,전북,세종시,1,0,0,0,0,"78,082"
309,세종,세종시,2,0,0,0,0,"78,008"
310,경남,창원시,1,0,0,0,0,"77,778"
311,충남,홍성군,2,0,0,0,0,"77,502"
312,전남,나주시,1,0,0,0,0,"77,455"
313,경기,남양주시,1,0,0,0,0,"77,389"
314,경남,통영시,1,0,0,0,0,"77,367"
315,충북,진천군,1,0,0,0,0,"77,359"
