시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종
서울특별시,강북성북지사,서울특별시 강북구 미아동 190-1,0 ,7 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,강북성북지사(공용),서울특별시 강북구 미아동 190-1,6 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,래미안미아1차 아파트,서울특별시 강북구 미아동 797,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,미아동부센트레빌,서울특별시 강북구 미아동 474,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,미아한일유앤아이APT,서울특별시 강북구 미아동 1355,0 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,북서울꿈의숲,서울특별시 강북구 번동 90,2 ,0 ,"SM3 Z.E,테슬라"
서울특별시,해모로아파트,서울특별시 강북구 번동 139,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,효성네오인텔리안,서울특별시 강북구 번동 418-3,0 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,e편한세상염창,서울특별시 강서구 염창동 309,0 ,5 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,강서경찰서 민원인주차장,서울특별시 강서구 화곡동 980-27,1 ,0 ,"SM3 Z.E,테슬라"
서울특별시,강서한강자이아파트,서울특별시 강서구 가양동 양천로55길 55,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,마곡 이웰메디파크,서울특별시 강서구 마곡동 801-7,1 ,0 ,"SM3 Z.E,테슬라"
서울특별시,마곡13단지 힐스테이트마스터,서울특별시 강서구 마곡동 748,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,마곡수명산파크1단지,서울특별시 강서구 내발산동 742,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,마곡수명산파크3단지,서울특별시 강서구 내발산동 751,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
