자치구,동,인구수,여자,남자
송파구,석촌동,32025,15239,16786
송파구,삼전동,30441,14232,16209
송파구,가락본동,26317,13039,13278
송파구,가락1동,27548,13356,14192
송파구,가락2동,31946,15634,16312
송파구,문정1동,20125,9955,10170
송파구,문정2동,29061,13293,15768
송파구,잠실본동,28386,13504,14882
송파구,잠실4동,21362,10269,11093
송파구,잠실6동,16870,8004,8866
송파구,잠실7동,9536,4444,5092
송파구,잠실2동,34989,16724,18265
송파구,잠실3동,34347,16379,17968
송파구,장지동,29471,14225,15246
송파구,위례동,42547,20743,21804
강동구,명일1동,25884,12593,13291
강동구,명일2동,17520,8573,8947
강동구,고덕1동,24074,12268,11806
강동구,고덕2동,22545,11380,11165
강동구,암사2동,15201,7351,7850
강동구,암사3동,17838,8746,9092
강동구,천호1동,26920,13185,13735
강동구,천호3동,26845,13044,13801
강동구,성내1동,20068,9652,10416
강동구,성내2동,23973,11802,12171
강동구,성내3동,23235,11359,11876
강동구,둔촌1동,143,79,64
강동구,둔촌2동,24641,12123,12518
강동구,암사1동,34643,17157,17486
강동구,천호2동,33671,16467,17204
강동구,길동,45863,22374,23489
강동구,강일동,32947,15789,17158
강동구,상일1동,38832,19137,19695
강동구,상일2동,10254,4812,5442
