순번,종류,번호,가로시설물,설치일,공사구분,공사날짜,공사내용,이력변경,좌표(Poi_X),좌표(Poi_Y),전원투입,행정구,지번 주소,도로명 주소,위치명
99,쉘터형 택시 승차대,P-10,TS,2002-01-01,,,,,127.03082,37.49087,OK,서초구,서초 1338,강남대로 311,강남대로 성지빌딩 앞
100,쉘터형 택시 승차대,P-12,표준형TS,2011-07-18,,,,,127.014728,37.480168,OK,서초구,서초동 701-10,남부순환로 2406,예술의전당 한가람미술관 앞
101,쉘터형 택시 승차대,P-13,TS,2002-01-01,,,,,127.01872,37.51798,OK,서초구,서초 잠원 8,강남대로107길 6,크레신타워오피스텔 앞
102,쉘터형 택시 승차대,P-14,표준형TS,2015-12-09,,,,,127.00744,37.50681,,서초구,반포3동 69,신반포로 213,반포쇼핑타운4동 앞(고속터미널역 8-2번출구)
103,쉘터형 택시 승차대,P-15,표준형TS,2002-01-01,교체,2021-05-27,21년도 택시승차대 5단계 개선정비,5월 교체,127.00767,37.50988,OK,서초구,반포동 398,잠원로 69,반포 뉴코아아울렛 앞
104,쉘터형 택시 승차대,P-16,표준형TS,2002-01-01,교체,2021-05-27,21년도 택시승차대 5단계 개선정비,5월 교체,127.00202,37.50532,,서초구,반포동 75,신반포로 165,반포쇼핑타운2동 앞(호남선 건너)
105,쉘터형 택시 승차대,P-22,표준형TS,2010-12-15,,,,,127.01656,37.48447,OK,서초구,서초동 1446,효룡로 292,남부터미널(4번출구 건너) 앞
106,쉘터형 택시 승차대,P-26,표준형TS,2013-09-16,,,,,127.01092,37.48563,OK,서초구,서초동 1583,반포대로 64,서초아트자이 아파트 앞
107,쉘터형 택시 승차대,P-31,표준형TS,2010-11-28,,,,,127.0143,37.52,OK,서초구,잠원동 51,잠원로 204,한신종합상사 좌측
108,쉘터형 택시 승차대,P-32,표준형TS,2002-01-01,교체,2021-05-27,21년도 택시승차대 5단계 개선정비,5월 교체,127.01098,37.47941,,서초구,서초동 700,남부순환로 2406,예술의 전당 음악당건물 앞
109,쉘터형 택시 승차대,Q-02,표준형TS,2011-07-01,,,,,127.04346,37.56658,OK,성동구,마장동 771-7,마장로 305,마장동 동광빌딩 앞
110,쉘터형 택시 승차대,Q-03,표준형TS,2011-07-01,,,,,127.04325,37.56622,OK,성동구,마장동 791-12,마장로 304,㈜아고라 앞(열산빌딩)
111,쉘터형 택시 승차대,Q-04,표준형TS,2011-07-05,,,,,127.04374,37.55446,,성동구,행당동17,왕십리로 222,한양대역 3번출구 앞
112,쉘터형 택시 승차대,Q-09,표준형TS,2011-07-02,,,,,127.03738,37.56983,OK,성동구,마장동 501,마장로 33길,KB국민은행 마장동지점 건너편
113,쉘터형 택시 승차대,Q-10,표준형TS,2011-07-02,,,,,127.03758,37.5696,OK,성동구,마장동 521-9,고산자로 336,기아부품대리점(기아상회) 앞
