행정구역코드,시도명,시군구명,읍면동명,평일주말구분,혼잡빈도강도
1119054,서울특별시,영등포구,여의동,평일,49.56
1119055,서울특별시,영등포구,당산1동,평일,37.76
1119056,서울특별시,영등포구,당산2동,평일,40.92
1119061,서울특별시,영등포구,양평1동,평일,67.57
1119062,서울특별시,영등포구,양평2동,평일,73.42
1119063,서울특별시,영등포구,신길1동,평일,23.72
1119065,서울특별시,영등포구,신길3동,평일,36.88
1119066,서울특별시,영등포구,신길4동,평일,35.2
1119067,서울특별시,영등포구,신길5동,평일,36.13
1119068,서울특별시,영등포구,신길6동,평일,35.38
1119069,서울특별시,영등포구,신길7동,평일,27.41
1119070,서울특별시,영등포구,대림1동,평일,44.43
1119071,서울특별시,영등포구,대림2동,평일,42.01
1119072,서울특별시,영등포구,대림3동,평일,32.13
1119073,서울특별시,영등포구,영등포본동,평일,32.86
1119074,서울특별시,영등포구,영등포동,평일,53.47
1119075,서울특별시,영등포구,도림동,평일,28.35
1119076,서울특별시,영등포구,문래동,평일,57.73
1120052,서울특별시,동작구,노량진2동,평일,19.12
1120053,서울특별시,동작구,상도1동,평일,32.93
1120054,서울특별시,동작구,상도2동,평일,46.87
1120055,서울특별시,동작구,상도3동,평일,38.93
1120056,서울특별시,동작구,상도4동,평일,31.86
1120063,서울특별시,동작구,사당1동,평일,35.53
1120065,서울특별시,동작구,사당3동,평일,25.43
1120066,서울특별시,동작구,사당4동,평일,45.02
1120067,서울특별시,동작구,사당5동,평일,57.35
1120068,서울특별시,동작구,대방동,평일,31.5
1120069,서울특별시,동작구,신대방1동,평일,26.07
1120070,서울특별시,동작구,신대방2동,평일,36.41
1120071,서울특별시,동작구,흑석동,평일,67.48
1120072,서울특별시,동작구,노량진1동,평일,33.37
1120073,서울특별시,동작구,사당2동,평일,41.01
1121052,서울특별시,관악구,보라매동,평일,44.32
1121054,서울특별시,관악구,청림동,평일,14.53
1121057,서울특별시,관악구,행운동,평일,32.65
1121058,서울특별시,관악구,낙성대동,평일,36.08
1121061,서울특별시,관악구,중앙동,평일,40.45
1121063,서울특별시,관악구,남현동,평일,36.36
1121064,서울특별시,관악구,서원동,평일,46.44
1121065,서울특별시,관악구,신원동,평일,52.07
1121066,서울특별시,관악구,서림동,평일,39.49
1121068,서울특별시,관악구,신사동,평일,30.33
1121069,서울특별시,관악구,신림동,평일,33.06
1121071,서울특별시,관악구,난향동,평일,28.21
1121072,서울특별시,관악구,조원동,평일,25.97
1121073,서울특별시,관악구,대학동,평일,25.04
1121078,서울특별시,관악구,은천동,평일,27.44
1121079,서울특별시,관악구,성현동,평일,42.03
1121080,서울특별시,관악구,청룡동,평일,29
1121081,서울특별시,관악구,난곡동,평일,30.14
1121082,서울특별시,관악구,삼성동,평일,34.81
1121083,서울특별시,관악구,미성동,평일,33.94
1122051,서울특별시,서초구,서초1동,평일,61.66
1122052,서울특별시,서초구,서초2동,평일,64.21
1122053,서울특별시,서초구,서초3동,평일,37
1122054,서울특별시,서초구,서초4동,평일,69.72
1122055,서울특별시,서초구,잠원동,평일,60.06
1122056,서울특별시,서초구,반포본동,평일,58.98
1122057,서울특별시,서초구,반포1동,평일,57.12
1122058,서울특별시,서초구,반포2동,평일,49.22
1122059,서울특별시,서초구,반포3동,평일,67.62
1122060,서울특별시,서초구,반포4동,평일,40.68
1122061,서울특별시,서초구,방배본동,평일,39.6
1122062,서울특별시,서초구,방배1동,평일,43.23
1122063,서울특별시,서초구,방배2동,평일,29.96
1122064,서울특별시,서초구,방배3동,평일,21.93
1122065,서울특별시,서초구,방배4동,평일,49.34
1122066,서울특별시,서초구,양재1동,평일,66.62
1122067,서울특별시,서초구,양재2동,평일,66.39
1122068,서울특별시,서초구,내곡동,평일,29.78
1123051,서울특별시,강남구,신사동,평일,52.46
1123052,서울특별시,강남구,논현1동,평일,43.73
1123053,서울특별시,강남구,논현2동,평일,34.75
1123058,서울특별시,강남구,삼성1동,평일,62.94
1123059,서울특별시,강남구,삼성2동,평일,38.17
1123060,서울특별시,강남구,대치1동,평일,29.18
1123063,서울특별시,강남구,대치4동,평일,44.24
1123064,서울특별시,강남구,역삼1동,평일,42.05
1123065,서울특별시,강남구,역삼2동,평일,40.63
1123066,서울특별시,강남구,도곡1동,평일,34.69
1123067,서울특별시,강남구,도곡2동,평일,29.94
1123068,서울특별시,강남구,개포1동,평일,82.86
1123071,서울특별시,강남구,개포4동,평일,56.4
1123072,서울특별시,강남구,일원본동,평일,24.07
1123073,서울특별시,강남구,일원1동,평일,45.89
1123074,서울특별시,강남구,일원2동,평일,57.15
1123075,서울특별시,강남구,수서동,평일,63.78
1123076,서울특별시,강남구,세곡동,평일,44.66
1123077,서울특별시,강남구,압구정동,평일,54.33
1123078,서울특별시,강남구,청담동,평일,71.14
1123079,서울특별시,강남구,대치2동,평일,69.3
1123080,서울특별시,강남구,개포2동,평일,65.63
1124051,서울특별시,송파구,풍납1동,평일,71.78
1124052,서울특별시,송파구,풍납2동,평일,41
1124053,서울특별시,송파구,거여1동,평일,76.52
1124054,서울특별시,송파구,거여2동,평일,43.73
1124055,서울특별시,송파구,마천1동,평일,57.58
1124056,서울특별시,송파구,마천2동,평일,44.04
1124057,서울특별시,송파구,방이1동,평일,19.91
1124058,서울특별시,송파구,방이2동,평일,34.15
1124059,서울특별시,송파구,오륜동,평일,21.19
1124060,서울특별시,송파구,오금동,평일,29.81
1124061,서울특별시,송파구,송파1동,평일,83.08
1124062,서울특별시,송파구,송파2동,평일,44.11
1124063,서울특별시,송파구,석촌동,평일,44.05
1124064,서울특별시,송파구,삼전동,평일,23.32
1124065,서울특별시,송파구,가락본동,평일,56.95
1124066,서울특별시,송파구,가락1동,평일,33.17
1124067,서울특별시,송파구,가락2동,평일,31.93
1124068,서울특별시,송파구,문정1동,평일,76.22
1124069,서울특별시,송파구,문정2동,평일,54.25
1124071,서울특별시,송파구,잠실본동,평일,30.2
1124075,서울특별시,송파구,잠실4동,평일,28.34
1124077,서울특별시,송파구,잠실6동,평일,59.35
1124078,서울특별시,송파구,잠실7동,평일,25.28
1124079,서울특별시,송파구,잠실2동,평일,48
1124080,서울특별시,송파구,잠실3동,평일,55.4
1124081,서울특별시,송파구,장지동,평일,79.75
1124082,서울특별시,송파구,위례동,평일,66.81
1125051,서울특별시,강동구,강일동,평일,70.85
1125052,서울특별시,강동구,상일동,평일,59.97
1125053,서울특별시,강동구,명일1동,평일,56.13
1125054,서울특별시,강동구,명일2동,평일,46.55
1125055,서울특별시,강동구,고덕1동,평일,22.1
1125056,서울특별시,강동구,고덕2동,평일,55.85
1125058,서울특별시,강동구,암사2동,평일,47.5
1125059,서울특별시,강동구,암사3동,평일,38.77
1125061,서울특별시,강동구,천호1동,평일,74.59
1125063,서울특별시,강동구,천호3동,평일,93.23
1125065,서울특별시,강동구,성내1동,평일,24.9
1125066,서울특별시,강동구,성내2동,평일,52.57
1125067,서울특별시,강동구,성내3동,평일,45.2
1125070,서울특별시,강동구,둔촌1동,평일,21.4
1125071,서울특별시,강동구,둔촌2동,평일,28.98
1125072,서울특별시,강동구,암사1동,평일,39.04
1125073,서울특별시,강동구,천호2동,평일,42.78
1125074,서울특별시,강동구,길동,평일,73.79
2101051,부산광역시,중구,중앙동,평일,48.8
2101052,부산광역시,중구,동광동,평일,79.34
2101053,부산광역시,중구,대청동,평일,46.98
2101054,부산광역시,중구,보수동,평일,38.14
2101056,부산광역시,중구,부평동,평일,60.27
2101057,부산광역시,중구,광복동,평일,82.2
2101058,부산광역시,중구,남포동,평일,94.35
2101059,부산광역시,중구,영주1동,평일,58.42
2101060,부산광역시,중구,영주2동,평일,18.49
2102051,부산광역시,서구,동대신1동,평일,46.38
2102052,부산광역시,서구,동대신2동,평일,30.52
2102053,부산광역시,서구,동대신3동,평일,24.12
2102054,부산광역시,서구,서대신1동,평일,68.21
2102056,부산광역시,서구,서대신3동,평일,99.63
2102057,부산광역시,서구,서대신4동,평일,2.82
2102059,부산광역시,서구,부민동,평일,88.24
2102061,부산광역시,서구,아미동,평일,42.75
2102063,부산광역시,서구,초장동,평일,99.88
2102064,부산광역시,서구,충무동,평일,68.14
2102065,부산광역시,서구,남부민1동,평일,44.5
2102068,부산광역시,서구,암남동,평일,21.81
2102069,부산광역시,서구,남부민2동,평일,27.32
2103051,부산광역시,동구,초량1동,평일,97.76
2103052,부산광역시,동구,초량2동,평일,99.12
2103053,부산광역시,동구,초량3동,평일,40.68
2103057,부산광역시,동구,수정2동,평일,98.3
2103066,부산광역시,동구,범일2동,평일,27.06
2103068,부산광역시,동구,범일5동,평일,38.72
2103070,부산광역시,동구,좌천동,평일,80.94
2103071,부산광역시,동구,범일1동,평일,98.96
2104053,부산광역시,영도구,남항동,평일,36.95
2104054,부산광역시,영도구,영선1동,평일,19.78
2104055,부산광역시,영도구,영선2동,평일,14.71
2104059,부산광역시,영도구,봉래1동,평일,20.39
2104063,부산광역시,영도구,청학1동,평일,12.6
2104064,부산광역시,영도구,청학2동,평일,25.79
2104065,부산광역시,영도구,동삼1동,평일,34.43
2104067,부산광역시,영도구,동삼3동,평일,22.41
2104069,부산광역시,영도구,봉래2동,평일,19.98
2105052,부산광역시,부산진구,부전2동,평일,73.07
2105054,부산광역시,부산진구,연지동,평일,20.84
2105055,부산광역시,부산진구,초읍동,평일,41.63
2105056,부산광역시,부산진구,양정1동,평일,61.9
2105057,부산광역시,부산진구,양정2동,평일,39.66
2105061,부산광역시,부산진구,전포2동,평일,45.76
2105064,부산광역시,부산진구,부암1동,평일,19.84
2105066,부산광역시,부산진구,부암3동,평일,32.84
2105068,부산광역시,부산진구,당감2동,평일,44.26
2105070,부산광역시,부산진구,당감4동,평일,68.29
2105072,부산광역시,부산진구,가야2동,평일,32.29
2105074,부산광역시,부산진구,개금1동,평일,14.72
2105076,부산광역시,부산진구,개금3동,평일,68.92
2105077,부산광역시,부산진구,범천1동,평일,63.85
2105080,부산광역시,부산진구,당감제1동,평일,73.1
2105081,부산광역시,부산진구,가야제1동,평일,29.95
2105082,부산광역시,부산진구,부전1동,평일,81.36
2105083,부산광역시,부산진구,전포1동,평일,32.17
2105084,부산광역시,부산진구,범천2동,평일,38.76
2106051,부산광역시,동래구,수민동,평일,71.66
2106055,부산광역시,동래구,온천1동,평일,71.66
2106056,부산광역시,동래구,온천2동,평일,45.64
2106057,부산광역시,동래구,온천3동,평일,81.41
2106058,부산광역시,동래구,사직1동,평일,37.98
2106059,부산광역시,동래구,사직2동,평일,34.18
2106060,부산광역시,동래구,사직3동,평일,56.88
2106061,부산광역시,동래구,안락1동,평일,45.3
2106062,부산광역시,동래구,안락2동,평일,42.76
2106063,부산광역시,동래구,명장1동,평일,99.95
2106064,부산광역시,동래구,명장2동,평일,99.5
2106065,부산광역시,동래구,명륜동,평일,59.4
2107053,부산광역시,남구,대연3동,평일,31
2107054,부산광역시,남구,대연4동,평일,39.46
2107055,부산광역시,남구,대연5동,평일,65.98
2107056,부산광역시,남구,대연6동,평일,45.67
2107057,부산광역시,남구,용호1동,평일,31.7
2107058,부산광역시,남구,용호2동,평일,30.65
2107059,부산광역시,남구,용호3동,평일,44.73
2107060,부산광역시,남구,용호4동,평일,17.53
2107061,부산광역시,남구,용당동,평일,20.33
2107062,부산광역시,남구,감만1동,평일,13.81
2107063,부산광역시,남구,감만2동,평일,26.68
2107066,부산광역시,남구,문현1동,평일,56.87
2107067,부산광역시,남구,문현2동,평일,40.62
2107068,부산광역시,남구,문현3동,평일,53.95
2107069,부산광역시,남구,문현4동,평일,43.66
2107070,부산광역시,남구,대연1동,평일,44.1
2107071,부산광역시,남구,우암동,평일,38.9
2108051,부산광역시,북구,구포1동,평일,44.3
2108052,부산광역시,북구,구포2동,평일,15.37
2108053,부산광역시,북구,구포3동,평일,33.35
2108054,부산광역시,북구,금곡동,평일,63.19
2108055,부산광역시,북구,화명1동,평일,84.28
2108056,부산광역시,북구,덕천1동,평일,96.85
2108057,부산광역시,북구,덕천2동,평일,48.65
2108058,부산광역시,북구,덕천3동,평일,28.75
2108059,부산광역시,북구,만덕1동,평일,81.54
2108060,부산광역시,북구,만덕2동,평일,99.29
2108061,부산광역시,북구,만덕3동,평일,37.34
2108062,부산광역시,북구,화명2동,평일,45.27
2108063,부산광역시,북구,화명3동,평일,11.48
2109053,부산광역시,해운대구,중1동,평일,35.76
2109054,부산광역시,해운대구,중2동,평일,22.82
2109056,부산광역시,해운대구,송정동,평일,32.45
2109058,부산광역시,해운대구,반여2동,평일,67.6
2109059,부산광역시,해운대구,반여3동,평일,41.68
2109062,부산광역시,해운대구,반송2동,평일,80.86
2109064,부산광역시,해운대구,재송1동,평일,24.7
2109065,부산광역시,해운대구,재송2동,평일,26.88
