,gid,행정동,공공_문화체육,유통_공급시설,환경기초시설
596,다사375516,공항동,0,0,0
597,다사375517,공항동,0,0,0
598,다사375518,공항동,0,0,0
599,다사375519,공항동,0,0,0
600,다사375520,공항동,0,0,0
601,다사375521,공항동,0,0,0
602,다사375522,공항동,0,0,0
603,다사375523,공항동,0,0,0
604,다사375524,공항동,0,0,0
605,다사375525,공항동,0,0,0
606,다사375526,공항동,0,0,0
607,다사375527,공항동,0,0,0
608,다사375528,공항동,0,0,0
609,다사375529,방화2동,0,0,0
610,다사375530,방화2동,0,0,0
611,다사375531,방화2동,0,0,0
612,다사375532,방화2동,0,0,0
613,다사375533,방화2동,0,0,0
614,다사375534,방화2동,0,0,0
615,다사375535,방화2동,0,0,0
616,다사375536,방화2동,0,0,0
617,다사376487,공항동,0,0,0
618,다사376488,공항동,0,0,0
619,다사376489,공항동,0,0,0
620,다사376490,공항동,0,0,0
621,다사376491,공항동,0,0,0
622,다사376492,공항동,0,0,0
623,다사376493,공항동,0,0,0
624,다사376494,공항동,0,0,0
625,다사376495,공항동,0,0,0
626,다사376496,공항동,0,0,0
627,다사376497,공항동,0,0,0
628,다사376498,공항동,0,0,0
629,다사376499,공항동,0,0,0
630,다사376500,공항동,0,0,0
631,다사376501,공항동,0,0,0
632,다사376502,공항동,0,0,0
633,다사376503,공항동,0,0,0
634,다사376504,공항동,0,0,0
635,다사376505,공항동,0,0,0
636,다사376506,공항동,0,0,0
637,다사376507,공항동,0,0,0
638,다사376508,공항동,0,0,0
639,다사376509,공항동,0,0,0
640,다사376510,공항동,0,0,0
641,다사376511,공항동,0,0,0
642,다사376512,공항동,0,0,0
643,다사376513,공항동,0,0,0
644,다사376514,공항동,0,0,0
645,다사376515,공항동,0,0,0
646,다사376516,공항동,0,0,0
647,다사376517,공항동,0,0,0
648,다사376518,공항동,0,0,0
649,다사376519,공항동,0,0,0
650,다사376520,공항동,0,0,0
651,다사376521,공항동,0,0,0
652,다사376522,공항동,0,0,0
653,다사376523,공항동,0,0,0
654,다사376524,공항동,0,0,0
655,다사376525,공항동,0,0,0
656,다사376526,공항동,0,0,0
657,다사376527,공항동,0,0,0
658,다사376528,방화2동,0,0,0
659,다사376529,방화2동,0,0,0
660,다사376530,방화2동,0,0,0
661,다사376531,방화2동,0,0,0
662,다사376532,방화2동,0,0,0
663,다사376533,방화2동,0,0,0
664,다사376534,방화2동,0,0,0
665,다사376535,방화2동,0,0,0
666,다사376536,방화2동,0,0,0
667,다사376537,방화2동,0,0,0
668,다사376538,방화2동,0,0,0
669,다사376539,방화2동,0,0,0
670,다사376540,방화2동,0,0,0
671,다사376541,방화2동,0,0,0
672,다사377487,공항동,0,0,0
673,다사377488,공항동,0,0,0
674,다사377489,공항동,0,0,0
675,다사377490,공항동,0,0,0
676,다사377491,공항동,0,0,0
677,다사377492,공항동,0,0,0
678,다사377493,공항동,0,0,0
679,다사377494,공항동,0,0,0
680,다사377495,공항동,0,0,0
681,다사377496,공항동,0,0,0
682,다사377497,공항동,0,0,0
683,다사377498,공항동,0,0,0
684,다사377499,공항동,0,0,0
685,다사377500,공항동,0,0,0
686,다사377501,공항동,0,0,0
