gid,합계
다사647546,0
다사622553,0
다사630556,0
다사640549,0
다사644553,0
다사630543,0
다사632559,0
다사636562,0
다사648558,0
다사635529,0
다사661560,0
다사632533,0
다사629567,0
다사630548,0
다사638537,0
다사642556,0
다사642566,0
다사636541,1
다사630554,1
다사631561,0
다사642537,0
다사633535,0
다사646548,0
다사655574,0
다사631542,0
다사623563,0
다사649576,0
다사637541,1
다사631556,0
다사635550,0
다사637553,0
다사637534,0
다사651566,0
다사642560,1
다사625574,0
다사639538,0
다사625553,1
다사650559,0
다사623571,0
다사636552,0
다사629563,0
다사625561,0
다사635527,0
다사644546,0
다사639560,0
다사633542,1
다사642552,0
다사657560,0
다사625538,0
다사638569,0
다사645577,0
다사649534,0
다사656548,0
다사644530,0
다사655542,0
다사641525,0
다사655580,0
다사636565,0
다사649571,0
다사627531,0
다사643533,0
다사644529,0
다사657579,0
다사643534,0
다사621564,1
다사641574,0
다사659556,0
다사652540,0
다사655565,0
다사627530,0
다사638529,0
다사653570,0
다사639526,0
다사630534,0
다사658579,0
다사636523,0
다사653555,0
다사620549,0
다사654548,0
다사642524,0
다사656551,0
다사657567,0
다사641568,0
다사650566,0
다사657548,0
다사658569,0
다사661569,0
다사659579,0
다사653550,0
다사657572,0
다사650575,0
다사658552,0
다사621547,0
다사643538,0
다사643530,0
다사659562,0
다사661568,0
다사661577,0
다사650572,0
다사622543,0
다사659571,0
다사642539,0
다사633572,0
다사620551,0
다사647570,0
다사628530,0
다사639523,0
다사620545,0
다사634576,0
다사654566,0
다사649569,0
다사620544,0
다사648540,0
다사622571,0
다사652543,0
다사620554,0
다사621575,0
다사653552,0
다사662576,0
다사640569,0
다사635572,0
다사651573,0
다사622558,0
다사648572,0
다사660573,0
다사643532,0
다사660568,0
다사638558,0
다사656579,0
다사647538,0
다사642529,0
다사659573,0
다사654578,0
다사655569,0
다사646575,0
다사657570,0
다사656563,0
다사640552,0
다사635568,1
다사621571,0
다사648564,0
다사637554,0
다사647537,0
다사643577,0
다사624576,0
다사652570,0
다사654544,0
다사635565,0
다사623561,0
다사640530,0
다사644578,0
다사631552,1
다사644535,0
다사622568,0
다사656544,0
다사633579,0
다사627527,0
다사656566,0
다사649564,0
다사653544,0
다사662562,0
다사642578,0
다사635567,1
다사619553,0
다사636563,0
다사646578,0
다사647529,0
다사654579,0
다사651545,0
다사637526,0
다사641526,0
다사644534,0
다사621563,0
다사627529,0
다사627536,0
다사659558,0
다사649544,0
다사658578,0
다사621543,0
다사656564,0
다사647566,0
다사655551,0
다사649579,0
다사653543,0
다사655563,0
다사652536,0
다사627528,0
다사634573,0
다사660551,0
다사624537,0
다사648575,0
다사627525,0
다사657547,0
다사624536,0
다사627532,0
다사645534,0
다사621574,0
다사658568,0
다사657571,0
다사634569,3
다사623558,0
다사634568,1
다사639556,0
다사660554,0
다사638525,0
다사658570,0
다사658555,0
다사662560,0
다사649543,0
다사635566,1
다사650564,0
다사651571,0
다사643539,0
다사654564,0
다사662566,0
다사663564,0
다사649537,0
다사621567,0
다사643570,0
다사651537,0
다사626531,0
다사651565,0
다사634563,0
다사656550,0
다사655541,0
다사646529,0
다사650546,0
다사648579,0
다사640523,0
다사647571,0
다사649568,0
다사654561,0
다사648569,0
다사655540,0
다사650563,0
다사654551,0
다사659577,0
다사623538,0
다사636566,1
다사648536,0
다사643527,0
다사652565,0
다사656549,0
다사651547,0
다사641529,0
다사653565,0
다사660569,0
다사638555,0
다사649574,0
다사646532,0
다사625534,0
다사645579,0
다사650542,0
다사649563,0
다사661559,0
다사658553,0
다사639527,0
다사627535,0
다사660567,0
다사626528,0
