"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","집행상태코드 심볼","현황도형 생성일시","면적(도형)","길이(도형)"
"40522","11000UQ152PS202002050019","UQS200","UQS210"," ","UQS210","11000URZ202001280124","11000NTC202001280023","주차장","11000","9","EMA0009","2020-02-05 00:00:00.0","1342.77381792","144.83113740"
"40523","11000UQ152PS202002050020","UQS200","UQS210"," ","UQS210","11000URZ202001280120","11000NTC202001280023","주차장","11000","2","EMA0009","2020-02-05 00:00:00.0","2636.16023146","210.11561495"
"40524","11000UQ152PS202002050031","UQS200","UQS210"," ","UQS210","11000URZ202001280121","11000NTC202001280023","주차장","11000","3","EMA0009","2020-02-05 00:00:00.0","1163.49652480","136.61811800"
"40525","11000UQ152PS202002050032","UQS200","UQS210"," ","UQS210","11000URZ202001280122","11000NTC202001280023","주차장","11000","5","EMA0009","2020-02-05 00:00:00.0","2064.23594762","183.59506620"
"40526","11000UQ152PS202002050033","UQS200","UQS210"," ","UQS210","11000URZ202001280123","11000NTC202001280023","주차장","11000","8","EMA0009","2020-02-05 00:00:00.0","3444.75946027","271.44843706"
"40527","11000UQ152PS202002050034","UQS200","UQS210"," ","UQS210","11000URZ202001280145","11000NTC202001280023","주차장","11000","1","EMA0009","2020-02-05 00:00:00.0","2835.25761196","253.26843294"
"40528","11000UQ152PS202002050035","UQS200","UQS210"," ","UQS210","11000URZ202001280146","11000NTC202001280023","주차장","11000","4","EMA0009","2020-02-05 00:00:00.0","2205.98390119","191.99585274"
"40529","11000UQ152PS202002050036","UQS200","UQS210"," ","UQS210","11000URZ202001280147","11000NTC202001280023","주차장","11000","6","EMA0009","2020-02-05 00:00:00.0","2344.00902700","206.95611226"
"40530","11290UQ152PS201910160019","UQS200","UQS210"," ","UQS210","11000URZ201908130133","11290NTC201908130004","노외주차장","11290"," ","EMA0009","2019-10-16 00:00:00.0","396.36318650","93.18496983"
"40531","11290UQ152PS201910160020","UQS200","UQS210"," ","UQS210","11000URZ201908130134","11290NTC201908130004","노외주차장","11290"," ","EMA0009","2019-10-16 00:00:00.0","884.12257000","127.00149843"
"40532","11290UQ152PS201910160021","UQS200","UQS210"," ","UQS210","11000URZ201908130135","11290NTC201908130004","노외주차장","11290"," ","EMA0009","2019-10-16 00:00:00.0","320.56478900","72.94837501"
"40533","11230UQ152PS201908270023","UQS200","UQS201"," ","UQS201","11000URZ201908160002","11230NTC201908160004","주차장","11230","3","EMA0009","2019-08-27 00:00:00.0","692.56239290","113.73040402"
"40534","11380UQ152PS201911270024","UQS200","UQS201"," ","UQS201","11380URZ201911150001","11380NTC201911150002","주차장","11380"," ","EMA0009","2019-11-27 00:00:00.0","573.84296298","96.70953842"
"40535","11000UQ152PS201912150624","UQS200","UQS290"," ","UQS290","11000URZ200110302476","11000NTC200110301524","기타주차장시설","11000"," ","EMA0009","2019-12-15 00:00:00.0","1036.09495325","142.77121432"
"40536","11000UQ152PS201912150655","UQS200","UQS210"," ","UQS210","11000URZ199607223350","11000NTC199607226224","노외주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","982.94876141","147.93557453"
"40537","11000UQ152PS201912150656","UQS200","UQS290"," ","UQS290","11000URZ201705261945","11000NTC201705268133","주차장","11000"," ","EMA0009","2019-12-15 00:00:00.0","4541.06971328","272.09988552"
"40538","11380UQ152PS202103160009","UQS200","UQS290"," ","UQS290","11380URZ202103030008","11380NTC202103030003","주차장시설 기타","11380","4","EMA0009","2021-03-16 00:00:00.0","5336.76695356","320.15668616"
"40539","11230UQ152PS202104080017","UQS500","UQS510"," ","UQS510","11230URZ202008040058","11230NTC202008040003","일반철도","11230","3","EMA0009","2021-04-08 00:00:00.0","6832.76934350","684.17805775"
"40540","11380UQ152PS202103160010","UQS200","UQS290"," ","UQS290","11380URZ202103030008","11380NTC202103030003","주차장시설 기타","11380","4","EMA0009","2021-03-16 00:00:00.0","5336.76695356","320.15668616"
"40541","11260UQ152PS202101070001","UQS500","UQSA52"," ","UQSA52","11260URZ202012300003","11260NTC202012300006","지하철역사","11260","1","EMA0009","2021-01-07 00:00:00.0","5282.70875411","703.50055197"
"40542","11000UQ152PS202012080007","UQS500","UQSA52"," ","UQSA52","11000URZ202011160012","11000NTC202011160004","지하철역사","11000","109","EMA0009","2020-12-08 00:00:00.0","1655.70144082","344.99818340"
