gid,ADM_DR_NM
다사648546,망우3동
다사623556,중화2동
다사636544,면목본동
다사656574,신내1동
다사633536,면목7동
다사638561,상봉1동
다사640574,신내2동
다사638550,상봉2동
다사645545,망우3동
다사642538,면목3·8동
다사628548,면목2동
다사638562,상봉1동
다사636536,면목3·8동
다사641546,망우3동
다사644563,신내1동
다사635532,면목7동
다사648573,신내1동
다사634531,면목4동
다사636534,면목7동
다사636529,면목4동
다사632535,면목5동
다사643575,신내1동
다사625545,면목2동
다사631534,면목5동
다사627570,묵1동
다사660559,망우본동
다사631560,중화1동
다사630539,면목5동
다사628565,묵1동
다사644552,망우본동
다사629557,중화1동
다사631540,면목5동
다사644564,신내1동
다사653577,신내1동
다사626552,중화2동
다사622545,면목2동
다사627543,면목2동
다사636528,면목4동
다사656577,신내1동
다사629568,묵1동
다사650549,망우3동
다사624573,묵2동
다사635556,상봉1동
다사631558,중화1동
다사641564,신내2동
다사622555,중화2동
다사629528,면목4동
다사627550,상봉2동
다사637531,면목4동
다사635537,면목3·8동
다사623557,중화2동
다사629536,면목5동
다사656576,신내1동
다사635526,면목4동
다사632577,묵1동
다사653573,신내1동
다사628545,면목2동
다사634559,상봉1동
다사637550,상봉2동
다사644561,신내1동
다사623567,묵2동
다사630573,묵1동
다사639547,면목본동
다사642559,상봉1동
다사634550,상봉2동
다사638534,면목7동
다사624560,중화2동
다사624566,묵2동
다사633561,중화1동
다사649559,망우본동
다사655560,망우본동
다사631577,묵1동
다사632546,면목2동
다사631571,묵1동
다사630571,묵1동
다사639537,면목3·8동
다사655575,신내1동
다사649552,망우본동
다사634544,면목본동
다사643546,망우3동
다사647573,신내1동
다사632561,중화1동
다사648547,망우3동
다사628539,면목5동
다사630574,묵1동
다사647546,망우3동
다사622553,중화2동
다사630556,중화1동
다사640549,망우3동
다사644553,망우본동
다사630543,면목2동
다사632559,중화1동
다사636562,상봉1동
다사648558,망우본동
다사635529,면목4동
다사661560,망우본동
다사632533,면목7동
다사629567,묵1동
다사630548,상봉2동
다사638537,면목3·8동
다사642556,상봉1동
다사642566,신내1동
다사636541,면목본동
다사630554,중화1동
다사631561,중화1동
다사642537,면목3·8동
다사633535,면목7동
다사646548,망우3동
다사655574,신내1동
