gid,lon,lat
다사472460,"126.9031190000","37.5122257900"
다사472459,"126.9031261000","37.5113244700"
다사503468,"126.9381407000","37.5196084000"
다사493467,"126.9268317000","37.5186527100"
다사454466,"126.8827080000","37.5175289900"
다사468442,"126.8987232000","37.4959791400"
다사475458,"126.9065277000","37.5104402600"
다사502468,"126.9370091000","37.5196030100"
다사476474,"126.9075451000","37.5248669900"
다사456467,"126.8849637000","37.5184421000"
다사500467,"126.9347527000","37.5186908800"
다사468440,"126.8987377000","37.4941765000"
다사479459,"126.9110464000","37.5113642300"
다사459463,"126.8883878000","37.5148544800"
다사457468,"126.8860879000","37.5193493000"
다사477459,"126.9087834000","37.5113529300"
다사478471,"126.9098297000","37.5221743800"
다사477473,"126.9086839000","37.5239713500"
다사460461,"126.8895340000","37.5130577100"
다사462461,"126.8917970000","37.5130693800"
다사459462,"126.8883952000","37.5139531700"
다사455464,"126.8838544000","37.5157322700"
다사456465,"126.8849785000","37.5166394800"
다사466441,"126.8964680000","37.4950662800"
다사455467,"126.8838321000","37.5184362100"
다사472456,"126.9031477000","37.5086205200"
다사457466,"126.8861026000","37.5175466800"
다사476459,"126.9076520000","37.5113472600"
다사469442,"126.8998544000","37.4959848900"
다사475473,"126.9064206000","37.5239599900"
다사457467,"126.8860953000","37.5184479900"
다사472461,"126.9031118000","37.5131271000"
다사500470,"126.9347323000","37.5213948400"
다사480459,"126.9121778000","37.5113698700"
다사461462,"126.8906581000","37.5139648700"
다사502471,"126.9369888000","37.5223069700"
다사455466,"126.8838395000","37.5175348900"
다사454467,"126.8827006000","37.5184303000"
다사457465,"126.8861100000","37.5166453700"
다사475459,"126.9065205000","37.5113415800"
다사488458,"126.9212365000","37.5105132500"
다사474479,"126.9052460000","37.5293621800"
다사454469,"126.8826857000","37.5202329200"
다사477460,"126.9087763000","37.5122542400"
다사500471,"126.9347255000","37.5222961600"
다사469443,"126.8998472000","37.4968862100"
다사464485,"126.8938849000","37.5347125100"
다사473460,"126.9042504000","37.5122315000"
다사472458,"126.9031333000","37.5104231600"
다사474459,"126.9053891000","37.5113358900"
다사459496,"126.8881449000","37.5445977300"
다사477472,"126.9086910000","37.5230700300"
다사473461,"126.9042433000","37.5131328200"
다사472464,"126.9030903000","37.5158310500"
다사468441,"126.8987304000","37.4950778200"
다사481459,"126.9133093000","37.5113754900"
다사469449,"126.8998039000","37.5022941100"
다사471442,"126.9021169000","37.4959963600"
다사461461,"126.8906655000","37.5130635500"
다사473459,"126.9042576000","37.5113301900"
다사474457,"126.9054034000","37.5095332500"
다사482459,"126.9144407000","37.5113811100"
다사491480,"126.9244785000","37.5303588300"
다사462460,"126.8918043000","37.5121680700"
다사488459,"126.9212295000","37.5114145700"
다사456464,"126.8849859000","37.5157381700"
다사501473,"126.9358436000","37.5241042100"
다사489451,"126.9224165000","37.5042095500"
다사467432,"126.8976644000","37.4869602000"
다사411486,"126.8338915000","37.5352906900"
다사449471,"126.8770128000","37.5220058300"
다사437472,"126.8634258000","37.5228347300"
다사430462,"126.8555819000","37.5137787000"
다사414482,"126.8373188000","37.5317045900"
