gid,lbl,val
다사692514,160.000000,160.000000
다사681506,244.000000,244.000000
다사703513,61.000000,61.000000
다사667475,229.000000,229.000000
다사677490,471.000000,471.000000
다사682500,559.000000,559.000000
다사701509,975.000000,975.000000
다사698509,84.000000,84.000000
다사684507,331.000000,331.000000
다사677516,32.000000,32.000000
다사713525,233.000000,233.000000
다사672478,30.000000,30.000000
다사707510,87.000000,87.000000
다사688486,838.000000,838.000000
다사705504,865.000000,865.000000
다사699502,599.000000,599.000000
다사676501,589.000000,589.000000
다사673484,430.000000,430.000000
다사694499,290.000000,290.000000
다사700496,92.000000,92.000000
다사669502,1062.000000,1062.000000
다사696498,65.000000,65.000000
다사702514,400.000000,400.000000
다사712513,0.000000,0.000000
다사685488,27.000000,27.000000
다사679507,548.000000,548.000000
다사705507,1189.000000,1189.000000
다사674472,228.000000,228.000000
다사666475,49.000000,49.000000
다사677496,784.000000,784.000000
다사708501,0.000000,0.000000
다사694517,6.000000,6.000000
다사681511,0.000000,0.000000
다사683483,137.000000,137.000000
다사670478,224.000000,224.000000
다사701514,354.000000,354.000000
다사683477,179.000000,179.000000
다사714513,367.000000,367.000000
다사679482,422.000000,422.000000
다사672503,305.000000,305.000000
다사689518,0.000000,0.000000
다사676483,170.000000,170.000000
다사672483,473.000000,473.000000
다사690515,29.000000,29.000000
다사681487,250.000000,250.000000
다사712517,153.000000,153.000000
다사705529,0.000000,0.000000
다사666478,116.000000,116.000000
다사710502,21.000000,21.000000
다사694505,712.000000,712.000000
다사686504,881.000000,881.000000
다사700503,193.000000,193.000000
다사672476,485.000000,485.000000
다사670485,508.000000,508.000000
다사669503,427.000000,427.000000
다사704528,0.000000,0.000000
다사669498,385.000000,385.000000
다사685506,434.000000,434.000000
다사686493,391.000000,391.000000
다사713520,293.000000,293.000000
다사676478,901.000000,901.000000
다사676485,649.000000,649.000000
다사701526,0.000000,0.000000
다사674507,1472.000000,1472.000000
다사680494,533.000000,533.000000
다사668486,496.000000,496.000000
다사712518,306.000000,306.000000
다사673497,341.000000,341.000000
다사673501,503.000000,503.000000
다사694498,223.000000,223.000000
다사670501,204.000000,204.000000
다사694504,527.000000,527.000000
다사673485,368.000000,368.000000
다사679511,45.000000,45.000000
다사707501,484.000000,484.000000
다사676476,590.000000,590.000000
다사695503,374.000000,374.000000
다사706500,1137.000000,1137.000000
다사705509,818.000000,818.000000
다사699496,71.000000,71.000000
다사699515,83.000000,83.000000
다사673500,452.000000,452.000000
다사673480,286.000000,286.000000
다사673495,318.000000,318.000000
다사671475,596.000000,596.000000
다사679503,446.000000,446.000000
다사671490,46.000000,46.000000
다사715497,0.000000,0.000000
다사708507,1170.000000,1170.000000
다사672511,0.000000,0.000000
다사686492,459.000000,459.000000
다사680496,395.000000,395.000000
다사670475,554.000000,554.000000
다사672492,237.000000,237.000000
다사675500,577.000000,577.000000
다사679515,0.000000,0.000000
다사670491,8.000000,8.000000
다사718501,336.000000,336.000000
다사717505,46.000000,46.000000
다사679512,64.000000,64.000000
다사689483,285.000000,285.000000
다사689510,572.000000,572.000000
다사674501,621.000000,621.000000
다사669493,173.000000,173.000000
다사675479,322.000000,322.000000
다사681505,859.000000,859.000000
다사714518,141.000000,141.000000
다사682497,460.000000,460.000000
다사670500,152.000000,152.000000
다사667487,313.000000,313.000000
다사713519,172.000000,172.000000
다사674505,786.000000,786.000000
다사686482,466.000000,466.000000
다사675489,812.000000,812.000000
다사666496,353.000000,353.000000
다사706504,776.000000,776.000000
다사706506,213.000000,213.000000
다사703507,674.000000,674.000000
다사688487,482.000000,482.000000
다사708524,332.000000,332.000000
다사670483,430.000000,430.000000
다사674504,622.000000,622.000000
다사682502,370.000000,370.000000
다사717502,150.000000,150.000000
다사693504,0.000000,0.000000
다사702510,1166.000000,1166.000000
다사675491,410.000000,410.000000
다사668477,185.000000,185.000000
다사681494,549.000000,549.000000
다사674510,39.000000,39.000000
다사701498,78.000000,78.000000
다사705503,711.000000,711.000000
다사667493,449.000000,449.000000
다사673503,430.000000,430.000000
다사711498,53.000000,53.000000
다사698513,99.000000,99.000000
다사687484,238.000000,238.000000
다사680477,266.000000,266.000000
다사686506,0.000000,0.000000
다사681501,398.000000,398.000000
다사688518,0.000000,0.000000
다사679481,356.000000,356.000000
다사689499,655.000000,655.000000
다사680491,464.000000,464.000000
다사677515,14.000000,14.000000
다사684485,473.000000,473.000000
다사676514,8.000000,8.000000
다사685490,381.000000,381.000000
다사696512,374.000000,374.000000
다사671507,48.000000,48.000000
다사668479,243.000000,243.000000
다사711526,397.000000,397.000000
다사682484,470.000000,470.000000
다사687474,0.000000,0.000000
다사703502,275.000000,275.000000
다사687512,577.000000,577.000000
다사689511,272.000000,272.000000
다사709512,542.000000,542.000000
다사683466,0.000000,0.000000
다사677485,385.000000,385.000000
다사687494,733.000000,733.000000
다사688497,725.000000,725.000000
다사668498,591.000000,591.000000
다사678478,222.000000,222.000000
다사716510,245.000000,245.000000
다사695501,304.000000,304.000000
다사677487,1267.000000,1267.000000
다사669504,1143.000000,1143.000000
다사688488,628.000000,628.000000
다사666495,316.000000,316.000000
다사695504,235.000000,235.000000
다사672510,35.000000,35.000000
다사666491,381.000000,381.000000
다사696513,149.000000,149.000000
다사676516,87.000000,87.000000
다사676502,746.000000,746.000000
다사665491,432.000000,432.000000
다사679504,486.000000,486.000000
다사707496,294.000000,294.000000
다사689495,96.000000,96.000000
다사672487,771.000000,771.000000
다사693511,128.000000,128.000000
다사714504,143.000000,143.000000
다사675505,607.000000,607.000000
다사711518,511.000000,511.000000
다사673487,426.000000,426.000000
다사690488,312.000000,312.000000
다사666479,199.000000,199.000000
다사692500,748.000000,748.000000
다사682501,622.000000,622.000000
다사696504,112.000000,112.000000
다사666497,225.000000,225.000000
다사710519,51.000000,51.000000
다사683508,894.000000,894.000000
다사680492,507.000000,507.000000
다사686510,441.000000,441.000000
다사680481,162.000000,162.000000
다사714517,325.000000,325.000000
다사674478,374.000000,374.000000
다사676506,229.000000,229.000000
다사664476,24.000000,24.000000
다사688499,75.000000,75.000000
다사695505,7.000000,7.000000
다사679480,85.000000,85.000000
다사676481,555.000000,555.000000
다사677479,683.000000,683.000000
다사707500,520.000000,520.000000
다사707505,237.000000,237.000000
다사677482,604.000000,604.000000
다사684493,276.000000,276.000000
다사714519,345.000000,345.000000
다사682487,265.000000,265.000000
다사670479,313.000000,313.000000
다사665480,23.000000,23.000000
다사686484,0.000000,0.000000
다사687501,83.000000,83.000000
다사699508,1430.000000,1430.000000
다사666490,277.000000,277.000000
다사678477,32.000000,32.000000
다사683492,166.000000,166.000000
다사684479,31.000000,31.000000
다사663491,81.000000,81.000000
다사678492,269.000000,269.000000
다사680484,25.000000,25.000000
다사676473,223.000000,223.000000
다사677474,46.000000,46.000000
다사665478,91.000000,91.000000
다사672477,67.000000,67.000000
다사679491,146.000000,146.000000
다사713501,263.000000,263.000000
다사704509,235.000000,235.000000
다사671499,1129.000000,1129.000000
다사665483,0.000000,0.000000
다사710525,655.000000,655.000000
다사695499,423.000000,423.000000
다사689475,0.000000,0.000000
다사677499,321.000000,321.000000
다사698498,51.000000,51.000000
다사692501,741.000000,741.000000
다사685498,459.000000,459.000000
다사695500,539.000000,539.000000
다사687482,298.000000,298.000000
다사673506,499.000000,499.000000
다사684488,213.000000,213.000000
다사705505,247.000000,247.000000
다사693513,338.000000,338.000000
다사708510,242.000000,242.000000
다사664490,34.000000,34.000000
다사686498,331.000000,331.000000
다사678484,262.000000,262.000000
다사684496,120.000000,120.000000
다사674473,534.000000,534.000000
다사694510,445.000000,445.000000
다사684481,595.000000,595.000000
다사685496,559.000000,559.000000
다사687499,428.000000,428.000000
다사679486,251.000000,251.000000
다사689481,0.000000,0.000000
다사674471,41.000000,41.000000
다사681489,534.000000,534.000000
다사688483,519.000000,519.000000
다사683480,334.000000,334.000000
다사670507,163.000000,163.000000
다사704504,392.000000,392.000000
다사716513,522.000000,522.000000
다사691497,189.000000,189.000000
다사668490,911.000000,911.000000
다사712506,124.000000,124.000000
다사676479,670.000000,670.000000
다사685478,685.000000,685.000000
다사681484,237.000000,237.000000
다사713503,874.000000,874.000000
다사679509,37.000000,37.000000
다사685504,103.000000,103.000000
다사708495,0.000000,0.000000
다사672509,55.000000,55.000000
다사709514,193.000000,193.000000
다사685489,620.000000,620.000000
다사704497,64.000000,64.000000
다사674500,597.000000,597.000000
다사678476,7.000000,7.000000
다사687509,703.000000,703.000000
다사680502,411.000000,411.000000
다사709498,376.000000,376.000000
다사681509,501.000000,501.000000
다사710531,0.000000,0.000000
다사675477,605.000000,605.000000
다사671484,437.000000,437.000000
다사674492,294.000000,294.000000
다사712520,535.000000,535.000000
다사688506,321.000000,321.000000
다사695498,401.000000,401.000000
다사671474,397.000000,397.000000
다사675495,171.000000,171.000000
다사677493,401.000000,401.000000
다사700502,80.000000,80.000000
다사713497,0.000000,0.000000
다사684492,417.000000,417.000000
다사676471,13.000000,13.000000
다사693506,395.000000,395.000000
다사668489,7.000000,7.000000
다사671506,428.000000,428.000000
다사684489,431.000000,431.000000
다사679487,71.000000,71.000000
다사672486,73.000000,73.000000
다사694501,696.000000,696.000000
다사670482,302.000000,302.000000
