gid,라벨,lon,lat
다사598428,"84","127.0458614000","37.4840173600"
다사597427,"84","127.0447358000","37.4831116700"
다사599427,"84","127.0469980000","37.4831203600"
다사597429,"84","127.0447249000","37.4849143500"
다사597425,"84","127.0447468000","37.4813089900"
다사598429,"84","127.0458560000","37.4849187000"
다사596429,"84","127.0435938000","37.4849099900"
다사597426,"84","127.0447413000","37.4822103300"
다사597428,"84","127.0447304000","37.4840130100"
다사599430,"84","127.0469816000","37.4858243900"
다사598426,"84","127.0458724000","37.4822146800"
다사600429,"84","127.0481182000","37.4849273800"
다사600426,"84","127.0481345000","37.4822233500"
다사601427,"84","127.0492601000","37.4831290100"
다사600428,"84","127.0481236000","37.4840260400"
다사599425,"84","127.0470088000","37.4813176800"
다사598425,"84","127.0458778000","37.4813133400"
다사600427,"84","127.0481290000","37.4831246900"
다사597424,"84","127.0447523000","37.4804076500"
다사599428,"84","127.0469925000","37.4840217000"
다사599426,"84","127.0470034000","37.4822190200"
다사599429,"84","127.0469871000","37.4849230400"
다사597470,"77","127.0445005000","37.5218691900"
다사595475,"77","127.0422096000","37.5263671100"
다사593472,"77","127.0399628000","37.5236543100"
다사596470,"77","127.0433688000","37.5218648200"
다사596471,"77","127.0433633000","37.5227661600"
다사597471,"77","127.0444950000","37.5227705300"
다사598471,"77","127.0456266000","37.5227748800"
다사594475,"77","127.0410779000","37.5263627200"
다사595471,"77","127.0422317000","37.5227617800"
다사596475,"77","127.0433413000","37.5263714900"
다사595473,"77","127.0422206000","37.5245644400"
다사593471,"77","127.0399683000","37.5227529800"
다사596473,"77","127.0433523000","37.5245688200"
다사595470,"77","127.0422372000","37.5218604400"
다사597472,"77","127.0444895000","37.5236718600"
다사594470,"77","127.0411055000","37.5218560500"
다사597474,"77","127.0444785000","37.5254745300"
다사595474,"77","127.0422151000","37.5254657800"
다사596474,"77","127.0433468000","37.5254701600"
다사594471,"77","127.0411000000","37.5227573800"
다사598472,"77","127.0456212000","37.5236762200"
다사594472,"77","127.0410945000","37.5236587200"
다사598470,"77","127.0456321000","37.5218735500"
다사594473,"77","127.0410890000","37.5245600500"
다사526525,"4","126.9637995000","37.5711045900"
