,동별,연료별,등록 자동차 수
400,서울특별시 중구 신당동,전기,20
401,서울특별시 중구 약수동,전기,19
402,서울특별시 중구 을지로동,전기,6
403,서울특별시 중구 장충동,전기,21
404,서울특별시 중구 중림동,전기,28
405,서울특별시 중구 청구동,전기,12
406,서울특별시 중구 필동,전기,20
407,서울특별시 중구 황학동,전기,14
408,서울특별시 중구 회현동,전기,140
409,서울특별시 중랑구 망우3동,전기,24
410,서울특별시 중랑구 망우본동,전기,62
411,서울특별시 중랑구 면목2동,전기,40
412,서울특별시 중랑구 면목3.8동,전기,6
413,서울특별시 중랑구 면목4동,전기,18
414,서울특별시 중랑구 면목5동,전기,9
415,서울특별시 중랑구 면목7동,전기,22
416,서울특별시 중랑구 면목본동,전기,21
417,서울특별시 중랑구 묵1동,전기,27
418,서울특별시 중랑구 묵2동,전기,6
419,서울특별시 중랑구 상봉1동,전기,26
420,서울특별시 중랑구 상봉2동,전기,16
421,서울특별시 중랑구 신내1동,전기,64
422,서울특별시 중랑구 신내2동,전기,41
423,서울특별시 중랑구 중화1동,전기,18
424,서울특별시 중랑구 중화2동,전기,12
