,동,등록 자동차 수,격자수,격자수대비 등록수
368,증산동,30,124,0.24193548387096775
369,진관동,197,1222,0.16121112929623568
370,창1동,55,156,0.3525641025641026
371,창2동,44,54,0.8148148148148148
372,창3동,22,66,0.3333333333333333
373,창4동,52,167,0.31137724550898205
374,창5동,39,47,0.8297872340425532
375,창신1동,7,58,0.1206896551724138
376,창신2동,6,19,0.3157894736842105
377,창신3동,8,28,0.2857142857142857
378,천연동,26,100,0.26
379,천호1동,72,80,0.9
380,천호2동,46,150,0.30666666666666664
381,천호3동,57,64,0.890625
382,청구동,28,42,0.6666666666666666
383,청담동,146,191,0.7643979057591623
384,청량리동,37,155,0.23870967741935484
385,청룡동,101,91,1.10989010989011
386,청림동,19,29,0.6551724137931034
387,청운효자동,51,226,0.22566371681415928
388,청파동,27,76,0.35526315789473684
389,충현동,66,114,0.5789473684210527
390,평창동,82,1042,0.07869481765834933
391,풍납1동,33,153,0.21568627450980393
392,풍납2동,54,269,0.20074349442379183
393,필동,30,173,0.17341040462427745
394,하계1동,41,165,0.24848484848484848
395,하계2동,21,49,0.42857142857142855
396,한강로동,129,237,0.5443037974683544
397,한남동,113,326,0.34662576687116564
398,합정동,71,227,0.31277533039647576
399,항동,65,156,0.4166666666666667
400,행당1동,82,58,1.4137931034482758
401,행당2동,34,42,0.8095238095238095
402,행운동,33,71,0.4647887323943662
403,혜화동,23,134,0.17164179104477612
404,홍은1동,47,130,0.36153846153846153
405,홍은2동,58,196,0.29591836734693877
406,홍제1동,42,152,0.27631578947368424
407,홍제2동,18,47,0.3829787234042553
408,홍제3동,21,128,0.1640625
409,화곡1동,85,91,0.9340659340659341
410,화곡2동,19,56,0.3392857142857143
411,화곡3동,26,55,0.4727272727272727
412,화곡4동,22,63,0.3492063492063492
413,화곡6동,48,95,0.5052631578947369
414,화곡8동,40,48,0.8333333333333334
415,화곡본동,40,119,0.33613445378151263
416,화양동,26,133,0.19548872180451127
417,황학동,31,40,0.775
418,회기동,7,114,0.06140350877192982
419,회현동,103,132,0.7803030303030303
420,효창동,16,86,0.18604651162790697
421,후암동,37,94,0.39361702127659576
422,휘경1동,14,74,0.1891891891891892
423,휘경2동,41,151,0.271523178807947
424,흑석동,66,167,0.39520958083832336
